time_s,fmu_outlet_temperature_c,twin_outlet_temperature_c,deviation_c
0.0,400.0,400.0,0.0
0.4120000000000003,400.0,400.0,0.0
0.8240000000000006,400.0,400.0,0.0
1.2360000000000009,400.0,400.0,0.0
1.6480000000000012,400.0,400.0,0.0
2.0599999999999947,400.0,400.0,0.0
2.4719999999999493,400.0,400.0,0.0
2.883999999999904,400.0,400.0,0.0
3.2959999999998586,400.0,400.0,0.0
3.7079999999998132,400.0,400.0,0.0
4.119999999999768,400.0,400.0,0.0
4.531999999999723,400.0,400.0,0.0
4.9439999999996775,400.0,400.0,0.0
5.355999999999632,400.0,400.0,0.0
5.767999999999587,400.0,400.0,0.0
6.179999999999541,400.0,400.0,0.0
6.591999999999496,400.0,400.0,0.0
7.003999999999451,400.0,400.0,0.0
7.415999999999405,400.0,400.0,0.0
7.82799999999936,400.0,400.0,0.0
8.239999999999421,400.0,400.0,0.0
8.651999999999559,400.0,400.0,0.0
9.063999999999696,400.0,400.0,0.0
9.475999999999834,400.0,400.0,0.0
9.887999999999971,400.0,400.0,0.0
10.300000000000109,400.0,400.0,0.0
10.712000000000247,400.0,400.0,0.0
11.124000000000384,400.0,400.0,0.0
11.536000000000522,400.0,400.0,0.0
11.94800000000066,400.0,400.0,0.0
12.360000000000797,400.0,400.0,0.0
12.772000000000935,400.0,400.0,0.0
13.184000000001072,400.0,400.0,0.0
13.59600000000121,400.0,400.0,0.0
14.008000000001347,400.0,400.0,0.0
14.420000000001485,400.0,400.0,0.0
14.832000000001623,400.0,400.0,0.0
15.24400000000176,400.0,400.0,0.0
15.656000000001898,400.0,400.0,0.0
16.068000000001973,400.0,400.0,0.0
16.480000000001745,400.0,400.0,0.0
16.892000000001516,400.0,400.0,0.0
17.304000000001288,400.0,400.0,0.0
17.71600000000106,400.0,400.0,0.0
18.12800000000083,400.0,400.0,0.0
18.540000000000603,400.0,400.0,0.0
18.952000000000375,400.0,400.0,0.0
19.364000000000146,400.0,400.0,0.0
19.775999999999918,400.0,400.0,0.0
20.18799999999969,400.0,400.0,0.0
20.59999999999946,400.0,400.0,0.0
21.011999999999233,400.0,400.0,0.0
21.423999999999005,400.0,400.0,0.0
21.835999999998776,400.0,400.0,0.0
22.247999999998548,400.0,400.0,0.0
22.65999999999832,400.0,400.0,0.0
