target_energy_fraction,achieved_energy_fraction,profile,checkpoint_s,outlet_temperature_c,storage_heat_mw,deliverable_power_mw
0.3,0.3,uniform,0.0,344.0,0.07812,0.07812
0.3,0.3,uniform,300.0,344.0,0.07812,0.07812
0.3,0.3,uniform,600.0,343.9999999999999,0.07811999999999963,0.07811999999999963
0.3,0.3,uniform,1200.0,343.99999999994526,0.07811999999982183,0.07811999999982183
0.3,0.3,uniform,1800.0,343.99999999727214,0.07811999999112082,0.07811999999112082
0.3,0.3,step_hot_at_inlet,0.0,320.0,0.0,0.0
0.3,0.3,step_hot_at_inlet,300.0,320.0000000015411,5.016221678033617e-12,5.016221678033617e-12
0.3,0.3,step_hot_at_inlet,600.0,320.00000004732647,1.540476478112396e-10,1.540476478112396e-10
0.3,0.3,step_hot_at_inlet,1200.0,320.00000377215156,1.227835332201721e-08,1.227835332201721e-08
0.3,0.3,step_hot_at_inlet,1800.0,320.00007437980673,2.421062709169064e-07,2.421062709169064e-07
0.3,0.3,step_hot_at_outlet,0.0,400.0,0.2604,0.2604
0.3,0.3,step_hot_at_outlet,300.0,399.99387316751205,0.2603800571602517,0.2603800571602517
0.3,0.3,step_hot_at_outlet,600.0,399.9571945033927,0.2602606681085433,0.2602606681085433
0.3,0.3,step_hot_at_outlet,1200.0,399.56090254173046,0.2589707377733326,0.2589707377733326
0.3,0.3,step_hot_at_outlet,1800.0,398.1284532529722,0.25430811533842446,0.25430811533842446
0.3,0.3,smeared,0.0,365.06,0.14667030000000003,0.14667030000000003
0.3,0.3,smeared,300.0,363.8332880176662,0.1426773524975034,0.1426773524975034
0.3,0.3,smeared,600.0,363.09180227550615,0.14026381640677252,0.14026381640677252
0.3,0.3,smeared,1200.0,361.6088307911838,0.13543674422530322,0.13543674422530322
0.3,0.3,smeared,1800.0,360.12585930675726,0.13060967204349488,0.13060967204349488
0.5,0.5,uniform,0.0,360.0,0.1302,0.1302
0.5,0.5,uniform,300.0,360.00000000000006,0.13020000000000018,0.13020000000000018
0.5,0.5,uniform,600.0,359.99999999999994,0.13019999999999982,0.13019999999999982
0.5,0.5,uniform,1200.0,359.99999999990763,0.13019999999969933,0.13019999999969933
0.5,0.5,uniform,1800.0,359.9999999954524,0.1301999999851976,0.1301999999851976
0.5,0.5,step_hot_at_inlet,0.0,320.0,0.0,0.0
0.5,0.5,step_hot_at_inlet,300.0,320.00000358391964,1.1665658414301561e-08,1.1665658414301561e-08
0.5,0.5,step_hot_at_inlet,600.0,320.0000562661208,1.8314622318342798e-07,1.8314622318342798e-07
0.5,0.5,step_hot_at_inlet,1200.0,320.0017624955751,5.736923097020963e-06,5.736923097020963e-06
0.5,0.5,step_hot_at_inlet,1800.0,320.01720563460066,5.60043406251387e-05,5.60043406251387e-05
0.5,0.5,step_hot_at_outlet,0.0,400.0,0.2604,0.2604
0.5,0.5,step_hot_at_outlet,300.0,399.9999964160805,0.26039998833434197,0.26039998833434197
0.5,0.5,step_hot_at_outlet,600.0,399.9999437338786,0.2603998168537748,0.2603998168537748
0.5,0.5,step_hot_at_outlet,1200.0,399.9982375042388,0.2603942630762972,0.2603942630762972
0.5,0.5,step_hot_at_outlet,1800.0,399.982794356304,0.2603439956297695,0.2603439956297695
0.5,0.5,smeared,0.0,395.1,0.2444505000000001,0.2444505000000001
0.5,0.5,smeared,300.0,393.0554800294437,0.2377955874958392,0.2377955874958392
0.5,0.5,smeared,600.0,391.8196704591771,0.23377302734462138,0.23377302734462138
0.5,0.5,smeared,1200.0,389.34805131863976,0.2257279070421724,0.2257279070421724
0.5,0.5,smeared,1800.0,386.8764321779292,0.21768278673915953,0.21768278673915953
0.7,0.7,uniform,0.0,376.0,0.18228,0.18228
0.7,0.7,uniform,300.0,376.0,0.18228,0.18228
0.7,0.7,uniform,600.0,375.9999999999997,0.18227999999999908,0.18227999999999908
0.7,0.7,uniform,1200.0,375.9999999998705,0.18227999999957853,0.18227999999957853
0.7,0.7,uniform,1800.0,375.9999999936338,0.1822799999792781,0.1822799999792781
0.7,0.6999999999999998,step_hot_at_inlet,0.0,320.0,0.0,0.0
0.7,0.6999999999999998,step_hot_at_inlet,300.0,320.0061268324879,1.9942839748094344e-05,1.9942839748094344e-05
0.7,0.6999999999999998,step_hot_at_inlet,600.0,320.0428054966066,0.0001393318914544969,0.0001393318914544969
0.7,0.6999999999999998,step_hot_at_inlet,1200.0,320.4390974580833,0.0014292622260612211,0.0014292622260612211
0.7,0.6999999999999998,step_hot_at_inlet,1800.0,321.87154673793185,0.006091884631968175,0.006091884631968175
0.7,0.6999999999999998,step_hot_at_outlet,0.0,400.0,0.2604,0.2604
0.7,0.6999999999999998,step_hot_at_outlet,300.0,399.999999998459,0.260399999994984,0.260399999994984
0.7,0.6999999999999998,step_hot_at_outlet,600.0,399.9999999526729,0.2603999998459503,0.2603999998459503
0.7,0.6999999999999998,step_hot_at_outlet,1200.0,399.9999962276625,0.26039998772104145,0.26039998772104145
0.7,0.6999999999999998,step_hot_at_outlet,1800.0,399.99992561109775,0.26039975786412317,0.26039975786412317
0.7,0.6999999999999998,smeared,0.0,397.06,0.2508303,0.2508303
0.7,0.6999999999999998,smeared,300.0,395.8332880176661,0.24683735249750322,0.24683735249750322
0.7,0.6999999999999998,smeared,600.0,395.0918022755058,0.24442381640677144,0.24442381640677144
0.7,0.6999999999999998,smeared,1200.0,393.60883079110954,0.23959674422506155,0.23959674422506155
0.7,0.6999999999999998,smeared,1800.0,392.1258593031193,0.23476967203165325,0.23476967203165325
