target_energy_fraction,checkpoint_s,power_min_mw,power_max_mw,power_mean_mw,relative_scatter,is_trivial_t0_comparison
0.3,0.0,0.0,0.2604,0.12129757500000002,2.146786528914531,True
0.3,300.0,5.016221678033617e-12,0.2603800571602517,0.12029435241569283,2.164524368155358,False
0.3,600.0,1.540476478112396e-10,0.2602606681085433,0.11966112116734079,2.174981024877183,False
0.3,1200.0,1.227835332201721e-08,0.2589707377733326,0.11813187356920275,2.1922172032874077,False
0.3,1800.0,2.421062709169064e-07,0.25430811533842446,0.11575950736982778,2.1968638171523334,False
0.5,0.0,0.0,0.2604,0.15876262500000005,1.640184520758585,True
0.5,300.0,1.1665658414301561e-08,0.26039998833434197,0.15709889687395995,1.6575544567801885,False
0.5,600.0,1.8314622318342798e-07,0.2603998168537748,0.1560932568361548,1.6682311522328173,False
0.5,1200.0,5.736923097020963e-06,0.2603942630762972,0.15408197676031649,1.6899350049113775,False
0.5,1800.0,5.60043406251387e-05,0.2603439956297695,0.15207069667368794,1.711624901986661,False
0.7,0.0,0.0,0.2604,0.173377575,1.5019243405613443,True
0.7,300.0,1.9942839748094344e-05,0.260399999994984,0.17238432383305882,1.5104625024221707,False
0.7,600.0,0.0001393318914544969,0.2603999998459503,0.17181078703604383,1.5148098233197447,False
0.7,1200.0,0.0014292622260612211,0.26039998772104145,0.17092649854293568,1.515099927176759,False
0.7,1800.0,0.006091884631968175,0.26039975786412317,0.17088532862675568,1.4881785070478997,False
