recipe,is_control,achieved_soc,checkpoint_s,probe_deliverable_power_mw,reference_deliverable_power_mw,deviation_mw,relative_deviation_pct
monotonic_2.0h,True,0.588084544477021,0.0,0.2602453940871977,0.2602453940871977,0.0,0.0
monotonic_2.0h,True,0.588084544477021,300.0,0.26016364513358525,0.2601629214792012,7.236543840272169e-07,0.000278154311887626
monotonic_2.0h,True,0.588084544477021,600.0,0.2600466027493205,0.26004469164522176,1.9111040987507266e-06,0.0007349137129697847
monotonic_2.0h,True,0.588084544477021,1200.0,0.25965706276914585,0.2596507059284594,6.356840686450038e-06,0.0024482277695796117
monotonic_2.0h,True,0.588084544477021,1800.0,0.25895032548853714,0.2589356310021833,1.4694486353827863e-05,0.005674957245920304
monotonic_3.5h,True,0.28677360448128214,0.0,0.23606565383229872,0.23606565383229872,0.0,0.0
monotonic_3.5h,True,0.28677360448128214,300.0,0.23181425175132261,0.23180510119515305,9.15055616956817e-06,0.00394752148351751
monotonic_3.5h,True,0.28677360448128214,600.0,0.2271148605502849,0.22709678735010583,1.80732001790751e-05,0.007958368935978115
monotonic_3.5h,True,0.28677360448128214,1200.0,0.2163827645568375,0.21634868193496165,3.408262187584721e-05,0.015753561136135352
monotonic_3.5h,True,0.28677360448128214,1800.0,0.20396062302168919,0.20391585373724572,4.476928444346884e-05,0.02195478361440007
shallow_cycle,False,0.3466893487439922,0.0,0.24368219385846107,0.24821053796744752,-0.0045283441089864485,-1.8243963959259195
shallow_cycle,False,0.3466893487439922,300.0,0.24042910546612686,0.24553229960079623,-0.005103194134669364,-2.0784206977927133
shallow_cycle,False,0.3466893487439922,600.0,0.2368282805127181,0.24245667070924073,-0.005628390196522642,-2.321400430047284
shallow_cycle,False,0.3466893487439922,1200.0,0.22854928041159062,0.2350340856648276,-0.006484805253236997,-2.7590914036548337
shallow_cycle,False,0.3466893487439922,1800.0,0.2188205507952296,0.22583978308348882,-0.007019232288259208,-3.1080583732514158
deep_cycle,False,0.28547519603643157,0.0,0.23514086717726526,0.23572654749153843,-0.0005856803142731681,-0.2484575116827652
deep_cycle,False,0.28547519603643157,300.0,0.22988627649502505,0.2314290074817654,-0.0015427309867403483,-0.666610898749113
deep_cycle,False,0.28547519603643157,600.0,0.22414393228366403,0.22668311541847322,-0.002539183134809192,-1.1201465667708328
deep_cycle,False,0.28547519603643157,1200.0,0.21134812293763497,0.21586205860538793,-0.004513935667752961,-2.0911204576274214
deep_cycle,False,0.28547519603643157,1800.0,0.19711563492302733,0.2033622492218117,-0.00624661429878437,-3.0716685730452604
double_cycle,False,0.482941600008591,0.0,0.25386982923621815,0.25886882858954746,-0.004998999353329314,-1.9310935891997785
double_cycle,False,0.482941600008591,300.0,0.2524180661026038,0.258319026097446,-0.005900959994842192,-2.284369093516234
double_cycle,False,0.482941600008591,600.0,0.25076692457031324,0.2576162865761041,-0.006849362005790838,-2.6587457248233504
double_cycle,False,0.482941600008591,1200.0,0.24680271044203383,0.25563571077769154,-0.008833000335657704,-3.455307675436295
double_cycle,False,0.482941600008591,1800.0,0.2418605601410263,0.2526775768718432,-0.01081701673081692,-4.280956333653324
