technology,temperature_c,profile_shape,blower_specific_power_mw_per_mw,total_cost_constant_eur,total_cost_soc_dependent_eur,blower_cost_constant_eur,blower_cost_soc_dependent_eur,delta_total_cost_eur,delta_total_cost_pct,delta_e_cap_mwh,delta_power_rating_mw
packed_bed,300.0,flat,0.010905381482581031,4004309.699509225,4005145.3173332224,10488.776431064854,10532.121724465238,835.6178239975125,0.020867961938606478,0.0,0.0
packed_bed,300.0,two_shift,0.010905381482581031,2817116.2033196865,2817469.770537196,15865.648891800487,15890.505494236098,353.5672175097279,0.01255067920496445,0.0,0.0
packed_bed,300.0,seasonal,0.010905381482581031,2890012.764447981,2890904.648245146,14920.163181299542,14997.884118271131,891.8837971650064,0.030860894738482733,0.0210579853320354,0.003509664222004716
packed_bed,400.0,flat,0.010905381482581031,4004309.699509225,4005145.317333224,10488.776431064854,10532.121724465223,835.6178239993751,0.020867961938652993,0.0,0.0
packed_bed,400.0,two_shift,0.010905381482581031,2817116.2033196865,2817469.7705371976,15865.648891800487,15890.50549423608,353.5672175111249,0.012550679205014039,0.0,0.0
packed_bed,400.0,seasonal,0.010905381482581031,2890012.764447981,2890904.6482451446,14920.163181299542,14997.884118271126,891.8837971636094,0.030860894738434397,0.02105798533202119,0.0035096642220029395
molten_salt,300.0,flat,,4075713.2585656545,4075957.3385042157,0.0,0.0,244.07993856118992,0.005988643534925412,2.708259927430845e-08,4.5137671378370214e-09
molten_salt,300.0,two_shift,,2944030.1616768646,2944140.9447398866,0.0,0.0,110.78306302195415,0.0037629730993942734,0.0,0.0
molten_salt,300.0,seasonal,,2991108.4860882657,2991423.819178823,0.0,0.0,315.3330905572511,0.010542348832343416,0.07438656714317915,0.012397761190531043
molten_salt,400.0,flat,,4075713.2585656545,4075957.3385042157,0.0,0.0,244.07993856118992,0.005988643534925412,2.708259927430845e-08,4.5137671378370214e-09
molten_salt,400.0,two_shift,,2944030.1616768646,2944140.9447398866,0.0,0.0,110.78306302195415,0.0037629730993942734,0.0,0.0
molten_salt,400.0,seasonal,,2991108.4860882657,2991423.819178823,0.0,0.0,315.3330905572511,0.010542348832343416,0.07438656714317915,0.012397761190531043
pcm,300.0,flat,,4178028.841601672,4178028.841601672,0.0,0.0,0.0,0.0,0.0,0.0
pcm,300.0,two_shift,,3059527.904201058,3059527.904201058,0.0,0.0,0.0,0.0,0.0,0.0
pcm,300.0,seasonal,,3132422.3424013215,3132422.3424013215,0.0,0.0,0.0,0.0,0.0,0.0
