time_s,state_of_charge,outlet_temperature_c,storage_heat_mw,deliverable_power_mw
0.0,1.0,500.0,0.21071207592592592,0.21071207592592592
28.8,0.9986666666666668,500.0,0.21071207592592592,0.21071207592592592
57.6,0.9973333333333334,500.0,0.21071207592592592,0.21071207592592592
86.4,0.9960000000000003,500.0,0.21071207592592592,0.21071207592592592
115.2,0.9946666666666669,500.0,0.21071207592592592,0.21071207592592592
144.0,0.9933333333333335,500.0,0.21071207592592592,0.21071207592592592
172.8,0.9920000000000001,500.0,0.21071207592592592,0.21071207592592592
201.6,0.990666666666667,500.0,0.21071207592592592,0.21071207592592592
230.4,0.9893333333333334,500.0,0.21071207592592592,0.21071207592592592
259.2,0.9880000000000002,500.0,0.21071207592592592,0.21071207592592592
288.0,0.9866666666666667,500.0,0.21071207592592592,0.21071207592592592
316.8,0.9853333333333335,500.0,0.21071207592592592,0.21071207592592592
345.6,0.9840000000000001,500.0,0.21071207592592592,0.21071207592592592
374.40000000000003,0.9826666666666669,500.0,0.21071207592592592,0.21071207592592592
403.2,0.9813333333333335,500.0,0.21071207592592592,0.21071207592592592
432.0,0.9800000000000002,500.0,0.21071207592592592,0.21071207592592592
460.8,0.9786666666666668,500.0,0.21071207592592592,0.21071207592592592
489.6,0.9773333333333334,500.0,0.21071207592592592,0.21071207592592592
518.4,0.9760000000000002,500.0,0.21071207592592592,0.21071207592592592
547.2,0.9746666666666671,500.0,0.21071207592592592,0.21071207592592592
576.0,0.9733333333333337,499.99999999999994,0.21071207592592578,0.21071207592592578
604.8000000000001,0.9720000000000003,499.99999999999994,0.21071207592592578,0.21071207592592578
633.6,0.9706666666666667,499.99999999999994,0.21071207592592578,0.21071207592592578
662.4,0.9693333333333336,499.9999999999999,0.21071207592592564,0.21071207592592564
691.2,0.9680000000000004,499.9999999999999,0.21071207592592564,0.21071207592592564
720.0,0.9666666666666672,499.9999999999999,0.21071207592592564,0.21071207592592564
748.8000000000001,0.9653333333333336,499.9999999999997,0.2107120759259252,0.2107120759259252
777.6,0.9640000000000005,499.9999999999997,0.2107120759259252,0.2107120759259252
806.4,0.9626666666666669,499.9999999999996,0.21071207592592486,0.21071207592592486
835.2,0.9613333333333337,499.99999999999943,0.21071207592592445,0.21071207592592445
864.0,0.9600000000000003,499.99999999999915,0.21071207592592367,0.21071207592592367
892.8000000000001,0.958666666666667,499.999999999999,0.21071207592592325,0.21071207592592325
921.6,0.9573333333333338,499.99999999999864,0.21071207592592234,0.21071207592592234
950.4,0.9560000000000004,499.9999999999982,0.21071207592592114,0.21071207592592114
979.2,0.9546666666666672,499.99999999999756,0.21071207592591948,0.21071207592591948
1008.0,0.953333333333334,499.9999999999969,0.21071207592591767,0.21071207592591767
1036.8,0.9520000000000007,499.99999999999596,0.2107120759259153,0.2107120759259153
1065.6000000000001,0.9506666666666673,499.999999999995,0.21071207592591276,0.21071207592591276
1094.4,0.9493333333333341,499.99999999999375,0.21071207592590946,0.21071207592590946
1123.2,0.948000000000001,499.9999999999921,0.2107120759259051,0.2107120759259051
1152.0,0.9466666666666678,499.9999999999901,0.21071207592589988,0.21071207592589988
1180.8,0.9453333333333348,499.99999999998784,0.2107120759258939,0.2107120759258939
1209.6000000000001,0.9440000000000015,499.999999999985,0.2107120759258864,0.2107120759258864
1238.4,0.9426666666666687,499.9999999999816,0.2107120759258774,0.2107120759258774
1267.2,0.9413333333333357,499.9999999999774,0.21071207592586635,0.21071207592586635
1296.0,0.940000000000003,499.9999999999724,0.21071207592585317,0.21071207592585317
1324.8,0.9386666666666701,499.9999999999663,0.21071207592583716,0.21071207592583716
1353.6000000000001,0.9373333333333373,499.9999999999591,0.21071207592581812,0.21071207592581812
1382.4,0.9360000000000047,499.99999999995043,0.21071207592579536,0.21071207592579536
1411.2,0.9346666666666725,499.99999999994014,0.21071207592576827,0.21071207592576827
1440.0,0.9333333333333405,499.9999999999279,0.21071207592573607,0.21071207592573607
1468.8,0.9320000000000086,499.9999999999135,0.21071207592569807,0.21071207592569807
1497.6000000000001,0.930666666666677,499.99999999989643,0.21071207592565314,0.21071207592565314
1526.4,0.9293333333333457,499.9999999998762,0.21071207592559985,0.21071207592559985
1555.2,0.9280000000000149,499.9999999998523,0.21071207592553695,0.21071207592553695
1584.0,0.9266666666666846,499.9999999998243,0.21071207592546315,0.21071207592546315
1612.8,0.9253333333333548,499.9999999997915,0.21071207592537677,0.21071207592537677
1641.6000000000001,0.9240000000000256,499.999999999753,0.21071207592527538,0.21071207592527538
1670.4,0.9226666666666969,499.9999999997081,0.21071207592515712,0.21071207592515712
1699.2,0.9213333333333694,499.9999999996556,0.21071207592501878,0.21071207592501878
1728.0,0.9200000000000429,499.9999999995945,0.21071207592485783,0.21071207592485783
1756.8,0.9186666666667176,499.9999999995235,0.2107120759246708,0.2107120759246708
1785.6000000000001,0.9173333333333933,499.99999999944106,0.21071207592445373,0.21071207592445373
1814.4,0.916000000000071,499.9999999993457,0.21071207592420252,0.21071207592420252
1843.2,0.9146666666667503,499.9999999992353,0.21071207592391172,0.21071207592391172
1872.0,0.9133333333334318,499.9999999991079,0.21071207592357621,0.21071207592357621
1900.8,0.9120000000001156,499.999999998961,0.21071207592318936,0.21071207592318936
1929.6000000000001,0.9106666666668026,499.9999999987921,0.21071207592274438,0.21071207592274438
1958.4,0.9093333333334926,499.9999999985979,0.21071207592223293,0.21071207592223293
1987.2,0.9080000000001863,499.9999999983749,0.2107120759216456,0.2107120759216456
2016.0,0.9066666666668844,499.99999999811956,0.21071207592097302,0.21071207592097302
2044.8,0.9053333333335872,499.99999999782744,0.21071207592020363,0.21071207592020363
2073.6,0.904000000000296,499.99999999749355,0.21071207591932417,0.21071207591932417
2102.4,0.9026666666670106,499.9999999971127,0.21071207591832106,0.21071207591832106
2131.2000000000003,0.9013333333337328,499.9999999966786,0.21071207591717764,0.21071207591717764
2160.0,0.9000000000004629,499.9999999961846,0.21071207591587657,0.21071207591587657
2188.8,0.8986666666672024,499.9999999956233,0.2107120759143981,0.2107120759143981
2217.6,0.8973333333339528,499.99999999498596,0.21071207591271945,0.21071207591271945
2246.4,0.8960000000007149,499.99999999426336,0.2107120759108162,0.2107120759108162
2275.2000000000003,0.8946666666674908,499.99999999344516,0.21071207590866112,0.21071207590866112
2304.0,0.8933333333342823,499.99999999251986,0.21071207590622398,0.21071207590622398
2332.8,0.8920000000010911,499.99999999147445,0.2107120759034705,0.2107120759034705
2361.6,0.8906666666679195,499.99999999029484,0.2107120759003635,0.2107120759003635
2390.4,0.8893333333347702,499.9999999889652,0.21071207589686142,0.21071207589686142
2419.2000000000003,0.8880000000016457,499.99999998746813,0.2107120758929182,0.2107120758929182
2448.0,0.8866666666685492,499.9999999857844,0.21071207588848354,0.21071207588848354
2476.8,0.8853333333354841,499.9999999838928,0.21071207588350116,0.21071207588350116
2505.6,0.884000000002455,499.99999998176986,0.21071207587790955,0.21071207587790955
2534.4,0.882666666669465,499.9999999793895,0.2107120758716399,0.2107120758716399
2563.2000000000003,0.8813333333365196,499.9999999767235,0.21071207586461785,0.21071207586461785
2592.0,0.8800000000036241,499.9999999737405,0.21071207585676102,0.21071207585676102
2620.8,0.8786666666707837,499.99999997040595,0.21071207584797816,0.21071207584797816
2649.6,0.8773333333380058,499.99999996668197,0.21071207583816956,0.21071207583816956
2678.4,0.8760000000052971,499.9999999625274,0.21071207582722679,0.21071207582722679
2707.2000000000003,0.8746666666726655,499.9999999578963,0.210712075815029,0.210712075815029
2736.0,0.8733333333401199,499.9999999527389,0.21071207580144488,0.21071207580144488
2764.8,0.8720000000076699,499.9999999470006,0.2107120757863308,0.2107120757863308
2793.6,0.8706666666753262,499.9999999406217,0.21071207576952938,0.21071207576952938
2822.4,0.8693333333431006,499.99999993353674,0.2107120757508683,0.2107120757508683
2851.2000000000003,0.868000000011006,499.99999992567433,0.21071207573015946,0.21071207573015946
2880.0,0.8666666666790567,499.99999991695654,0.2107120757071977,0.2107120757071977
2908.8,0.8653333333472684,499.9999999072986,0.21071207568175965,0.21071207568175965
2937.6,0.8640000000156582,499.9999998966077,0.2107120756536008,0.2107120756536008
2966.4,0.8626666666842453,499.999999884783,0.21071207562245575,0.21071207562245575
2995.2000000000003,0.86133333335305,499.9999998717148,0.21071207558803542,0.21071207558803542
3024.0,0.8600000000220952,499.99999985728357,0.21071207555002497,0.21071207555002497
3052.8,0.8586666666914058,499.99999984135957,0.21071207550808274,0.21071207550808274
3081.6,0.8573333333610091,499.9999998238017,0.21071207546183712,0.21071207546183712
3110.4,0.8560000000309348,499.9999998044573,0.21071207541088577,0.21071207541088577
3139.2000000000003,0.8546666667012156,499.9999997831601,0.2107120753547911,0.2107120753547911
3168.0,0.8533333333718869,499.9999997597302,0.2107120752930791,0.2107120752930791
3196.8,0.852000000042987,499.99999973397274,0.21071207522523647,0.21071207522523647
3225.6,0.8506666667145591,499.9999997056768,0.21071207515070786,0.21071207515070786
3254.4,0.849333333386649,499.99999967461406,0.2107120750688916,0.2107120750688916
3283.2000000000003,0.8480000000593066,499.99999964053757,0.2107120749791375,0.2107120749791375
3312.0,0.8466666667325871,499.99999960318075,0.21071207488074334,0.21071207488074334
3340.8,0.8453333334065494,499.99999956225554,0.21071207477295037,0.21071207477295037
3369.6,0.8440000000812585,499.9999995174508,0.21071207465493919,0.21071207465493919
3398.4,0.8426666667567847,499.9999994684315,0.21071207452582713,0.21071207452582713
3427.2000000000003,0.8413333334332042,499.99999941483594,0.21071207438466177,0.21071207438466177
3456.0,0.8400000001105996,499.9999993562747,0.2107120742304173,0.2107120742304173
3484.8,0.8386666667890608,499.9999992923281,0.2107120740619882,0.2107120740619882
3513.6,0.8373333334686851,499.9999992225451,0.21071207387818675,0.21071207387818675
3542.4,0.8360000001495776,499.9999991464399,0.2107120736777332,0.2107120736777332
3571.2000000000003,0.8346666668318529,499.99999906349063,0.210712073459253,0.210712073459253
3600.0,0.8333333335156338,499.99999897313666,0.21071207322126959,0.21071207322126959
3628.8,0.8320000002010542,499.99999887477554,0.21071207296219616,0.21071207296219616
3657.6,0.8306666668882581,499.99999876776087,0.2107120726803301,0.2107120726803301
3686.4,0.8293333335774016,499.99999865139955,0.21071207237384593,0.21071207237384593
3715.2000000000003,0.8280000002686525,499.99999852494807,0.21071207204078524,0.21071207204078524
3744.0,0.8266666669621922,499.9999983876097,0.2107120716790496,0.2107120716790496
3772.8,0.8253333336582166,499.99999823853125,0.2107120712863917,0.2107120712863917
3801.6,0.8240000003569365,499.9999980767991,0.21071207086040525,0.21071207086040525
3830.4,0.8226666670585795,499.999997901436,0.21071207039851625,0.21071207039851625
3859.2000000000003,0.8213333337633895,499.9999977113967,0.21071206989797153,0.21071206989797153
3888.0,0.8200000004716301,499.9999975055635,0.21071206935582726,0.21071206935582726
3916.8,0.8186666671835843,499.9999972827427,0.21071206876893936,0.21071206876893936
3945.6,0.8173333338995565,499.999997041659,0.2107120681339488,0.2107120681339488
3974.4,0.8160000006198741,499.9999967809516,0.21071206744727133,0.21071206744727133
